Brand,Model,City - Cold Weather (km),City - Mild Weather (km),Highway - Cold Weather (km),Highway - Mild Weather (km),Useable Battery(Wh),Combined - Cold Weather(Wh/km),Combined -Mild Weather(Wh/km),Acceleration(0-100km/h),Battery Type,Drive,Electric Range(km),Total Power(kw),Total Torque(Nm),Efficiency(Wh/km),Towing Weight(kg),Gross Vehicle Weight(kg),Weight Unladen(EU),Number of seats
Tesla,Model 3 Long Range Dual Motor,455,700,350,460,75000,188,134,4.4,Lithium-ion,AWD,485,366,493,154.6391753,1000,2232,1919,5
Tesla,Model Y Long Range Dual Motor,420,635,315,405,75000,205,149,5,Lithium-ion,AWD,435,378,493,172.4137931,1600,2619,2054,5
Tesla,Model 3,360,555,275,360,57500,183,129,6.1,Lithium-ion,Rear,380,208,420,151.3157895,1000,2149,1835,5
MG,MG4 Electric 64 kWh,355,535,260,335,61700,202,147,7.9,Lithium-ion,Rear,365,150,250,169.0410959,500,2133,1785,5
Honda,e Advance,165,255,125,155,28500,204,146,9,Lithium-ion,Rear,170,100,315,167.6470588,0,1855,1588,4
BMW,iX M60,480,685,350,445,105200,257,193,3.8,Lithium-ion,AWD,485,455,1100,216.9072165,2500,3160,2659,5
BMW,I4 eDrive40,445,670,340,440,80700,207,149,5.7,Lithium-ion,Rear,470,250,430,171.7021277,1600,2605,2125,5
BMW,iX1 xDrive30,345,510,255,325,64700,216,160,5.6,Lithium-ion,AWD,355,230,494,182.2535211,1200,2580,2085,5
BMW,iX xDrive40,350,515,260,330,71000,233,175,6.1,Lithium-ion,AWD,360,240,630,197.2222222,2500,3010,2440,5
BMW,iX xDrive50,500,720,365,465,105200,245,183,4.6,Lithium-ion,AWD,505,385,765,208.3168317,2500,3145,2585,5
BMW,i4 M50,420,620,315,410,80700,218,161,3.9,Lithium-ion,AWD,435,400,795,185.5172414,1600,2735,2290,5
BMW,i7 xDrive60,490,715,375,480,101700,237,175,4.7,Lithium-ion,AWD,510,400,745,199.4117647,2000,3250,2715,5
BMW,iX3,385,560,275,350,74000,228,168,6.8,Lithium-ion,Rear,385,210,400,192.2077922,740,2725,2260,5
Audi,e-tron GT RS,395,565,295,375,85000,246,185,3.3,Lithium-ion,AWD,405,475,830,209.8765432,0,2860,2420,4
Audi,Q4 e-tron 40,405,595,290,370,76600,222,165,8.5,Lithium-ion,Rear,405,150,310,189.1358025,1000,2640,2125,5
Audi,e-tron 55 quattro,510,735,380,485,86500,275,211,5.7,Lithium-ion,AWD,365,300,664,236.9863014,1800,3140,2565,5
Audi,Q4 e-tron 35,280,420,200,260,52000,217,160,9,Lithium-ion,Rear,285,125,310,182.4561404,0,2475,1965,5
Audi,e-tron S,NA,NA,NA,NA,86500,315,244,4.5,Lithium-ion,AWD,320,370,973,270.3125,1800,3280,2730,5
Hyundai,IONIQ 5 Long Range AWD,380,560,275,350,74000,228,170,5.1,Lithium-ion,AWD,385,239,605,192.2077922,1600,2560,2120,5
Hyundai,IONIQ 5 Standard Range 2WD,295,435,210,270,54000,216,159,8.5,Lithium-ion,Rear,295,125,350,183.0508475,750,2370,1905,5
Jaguar,I-Pace EV400,390,555,275,345,84700,261,197,4.8,Lithium-ion,AWD,380,294,696,222.8947368,750,2670,2208,5
Kia,Niro EV,375,565,270,345,64800,203,149,7.8,Lithium-ion,Front,380,150,255,170.5263158,750,2200,1757,5
Kia,EV6 Long Range AWD,395,580,285,370,74000,218,161,5.2,Lithium-ion,AWD,400,239,605,185,1600,2530,2090,5
Kia,e-Soul 64 kWh,365,550,260,335,64000,206,152,7.9,Lithium-ion,Front,370,150,395,172.972973,0,2180,1757,5
Mazda,MX-30,170,250,120,150,30000,214,154,9.7,Lithium-ion,Front,170,107,271,176.4705882,0,2119,1720,5
Peugeot,e-208,280,430,200,260,45000,188,136,8.1,Lithium-ion,Front,285,100,260,157.8947368,0,1910,1530,5
Peugeot,e-Rifter Long 50 kWh,205,290,135,170,45000,273,205,11.7,Lithium-ion,Front,195,100,260,230.7692308,750,2455,1884,7
Peugeot,E-traveller Standard 50 kWh,NA,NA,NA,NA,45000,290,225,13.1,Lithium-ion,Front,180,100,260,250,1000,3015,1982,9
Skouda,Enyaq iV 80,415,615,300,385,77000,217,159,8.6,Lithium-ion,Rear,420,150,310,183.3333333,1000,2616,2090,5
Skouda,Enyaq Coupe iV RS,395,580,295,375,77000,226,167,6.5,Lithium-ion,AWD,405,220,460,190.1234568,1200,2740,2367,5
Skouda,Enyaq Coupe iV 80,NA,NA,NA,NA,77000,205,150,8.7,Lithium-ion,Rear,445,150,310,173.0337079,1000,2600,2119,5
Toyota,bZ4X AWD,365,535,260,335,71400,230,170,6.9,Lithium-ion,AWD,370,160,336,192.972973,750,2275,2105,5
Toyota,PROACE Verso L 75 kWh,280,390,185,225,68000,302,234,13.1,Lithium-ion,Front,260,100,260,261.5384615,1000,3100,2167,8
Toyota,PROACE Shuttle L 50 kWh,190,260,120,150,45000,300,231,12.1,Lithium-ion,Front,175,100,260,257.1428571,1000,3030,2102,9
Porsche,Taycan Turbo s,390,560,290,370,83700,246,186,2.8,Lithium-ion,AWD,400,560,1050,209.25,0,2870,2370,4
Porsche,Taycan 4s,375,560,290,375,71000,212,156,4,Lithium-ion,AWD,395,390,640,179.7468354,0,2880,2215,4
Porsche,Taycan ,390,580,295,385,71000,206,151,5.4,Lithium-ion,Rear,410,300,345,173.1707317,0,2795,2125,4
Volkswagen,ID.Buzz Pro,340,480,235,295,77000,270,208,10.2,Lithium-ion,Rear,330,150,310,233.3333333,1000,3000,2486,5
Volkswagen,ID.4 Pro Performance,405,600,295,375,77000,220,164,8.5,Lithium-ion,Rear,410,150,310,187.804878,1000,2660,2124,5
Volkswagen,ID.5 GTX,400,590,295,375,77000,223,166,6.3,Lithium-ion,AWD,405,220,460,190.1234568,1200,2750,2242,5
Mercedes,EQA 580 4MATIC,NA,NA,NA,NA,107800,211,154,4.3,Lithium-ion,AWD,605,385,855,178.1818182,750,3060,2585,5
Mercedes,EQE SUV 450+,NA,NA,NA,NA,108400,255,194,6.7,Lithium-ion,Rear,495,265,568,218.989899,750,3265,2695,7
Mercedes,EQV 300 Long,330,445,215,265,90000,340,265,12.1,Lithium-ion,Front,305,150,362,295.0819672,0,2500,2635,7
Mercedes,EQE AMG 43 4MATIC,465,685,355,460,90600,221,163,4.2,Lithium-ion,AWD,485,350,858,186.8041237,750,3095,2525,5
Mercedes,EQA 250,350,515,250,320,66500,222,164,8.6,Lithium-ion,Front,355,140,385,187.3239437,750,2470,2040,5
Mercedes,EQA 300 4MATIC,345,510,250,320,66500,225,166,7.7,Lithium-ion,AWD,350,168,390,190,1800,2535,2105,5
Citroen ,e-C4,265,400,190,245,45000,200,146,9.7,Lithium-ion,Front,265,100,260,169.8113208,0,2020,1636,5
Citroen ,e-Berlingo M 50 kWh,215,305,140,175,45000,257,200,11.7,Lithium-ion,Front,200,100,260,225,750,2290,1739,5
Citroen ,e-Jumpy Combi M 50 kWh,190,270,125,155,45000,290,225,12.1,Lithium-ion,Front,180,100,260,250,1000,3015,1969,9
CUPRA,Born 170 kW - 77 kWh,435,655,320,415,77000,205,150,7,Lithium-ion,Rear,450,170,310,171.1111111,0,2300,1946,4
Mercedes,EQE 350+,500,745,385,500,90600,206,150,6.4,Lithium-ion,Rear,525,215,565,172.5714286,750,2880,2355,5
Mercedes,EQS 450+,595,895,470,615,107800,201,146,6.2,Lithium-ion,Rear,640,245,568,168.4375,750,2945,2480,5
Kia,EV6 GT,365,535,265,335,74000,235,176,3.5,Lithium-ion,AWD,370,430,740,200,1800,2610,2200,5
Renault Megane,E-Tech EV60 220hp,350,535,255,330,60000,200,145,7.4,Lithium-ion,Front,360,160,300,166.6666667,900,2158,1711,5
Mercedes,EQS AMG 53 4MATIC+,535,785,415,530,107800,227,167,3.4,Lithium-ion,AWD,565,560,1020,190.7964602,750,3225,2655,5
Nissan,Ariya 87kWh,450,655,315,400,87000,232,172,7.6,Lithium-ion,Front,445,178,300,195.505618,750,NaN,2000,5
Mercedes,EQC 400 4MATIC,370,530,270,340,80000,254,190,5.1,Lithium-ion,AWD,370,300,760,216.2162162,1800,2940,2495,5
Mercedes,EQB 350 4MATIC,330,485,240,305,66500,238,177,6.2,Lithium-ion,AWD,330,215,520,201.5151515,0,2580,2175,7
Volvo,XC40 Recharge Pure Electric,340,500,235,300,67000,235,176,7.4,Lithium-ion,Front,335,170,330,200,1500,2460,2023,5
Tesla,Model Y Performance,405,605,300,385,75000,214,156,3.7,Lithium-ion,AWD,415,393,660,180.7228916,1600,2634,2072,5
MG,ZS EV Long Range,370,550,255,325,68300,220,165,8.4,Lithium-ion,Front,365,115,280,187.1232877,500,2070,1695,5
MG,MG4 Electric 51 kWh,295,445,215,275,50800,199,147,7.7,Lithium-ion,Rear,300,125,250,169.3333333,500,2103,1755,5
Polestar,2 Long Range Dual Motor,385,565,280,360,75000,224,165,4.7,Lithium-ion,AWD,395,300,660,189.8734177,1500,2188,2600,5
NIO,ET7 100kWh,475,705,370,480,90000,212,155,3.8,Lithium-ion,AWD,505,480,850,178.2178218,2000,2900,2454,5
Tesla,Model S Plaid,515,765,395,515,95000,209,152,2.1,Lithium-ion,AWD,540,760,NA,175.9259259,1600,2629,2265,5
